"S_ID","SAF_SELFCON","SQA06A","SQA06B","SQA06C","SQA06D","SQA06E","SQA06F","SBF_SELFCON","SQB01A","SQB01B","SQB01C","SQB01D","SQB01E","SQB01F","SAF_PINT","SQA14A","SQA14B","SQA14C","SBF_PINT","SQB03A","SQB03B","SQB03C","SAF_GENSELFEFF","SQA15A","SQA15B","SQA15C","SQA15D","SQA15E","SBF_GENSELFEFF","SQB02A","SQB02B","SQB02C","SQB02D","SQB02E","SAF_EFFICACY_MATCHED","SQA16F2","SQA16G2","SQA16H2","SQA16I2","SQA16J2","SBF_EFFICACY_MATCHED","SQB07CA","SQB07CB","SQB07CC","SQB07CD","SQB07CE"
"00826-0062-0001-0017",-0.529050465167603,1,2,3,2,2,3,-1.22103096657155,1,2,3,1,1,1,-1.50834852898287,2,1,1,-1.6026139971396,1,1,1,-0.565449450718621,1,1,2,3,4,-0.54725218827317,2,2,2,3,1,-1.31630817300646,1,1,1,1,1,-1.52759909668946,1,1,1,1,1
"00826-0062-0001-0018",-0.825118449181821,2,2,2,2,2,2,-2.08172567444038,1,1,1,1,1,1,-0.848178210081668,2,2,2,-1.6026139971396,1,1,1,-0.754875266066217,2,2,2,2,2,-1.41106854101579,1,1,1,2,1,-1.15094335257707,2,1,1,1,1,-1.23173500106312,1,1,2,1,1
"00826-0062-0001-0019",-0.0735417449529984,3,3,3,3,2,2,-0.19091645632395,2,4,4,1,1,3,0.778546242563557,4,3,4,-1.02032198545251,3,1,1,-0.302993272141763,3,2,3,2,2,0.0506344433777054,2,2,3,1,4,-0.130768395676335,3,3,2,2,2,-1.52759909668946,1,1,1,1,1
"00826-0062-0001-0020",-0.408458352911172,3,2,2,3,2,2,-0.936522837820032,2,2,2,2,1,2,-0.0774978699633682,3,3,2,-1.27211400585285,2,1,1,-0.0561161980951051,3,2,2,4,3,-1.1696524912872,1,1,1,2,2,-0.614664140124862,2,1,1,2,3,-0.0421980022727291,2,3,4,1,2
"00826-0062-0001-0021",NA,NA,NA,NA,NA,NA,NA,0.495913076204877,3,3,3,3,3,3,NA,NA,NA,NA,-0.624960511436945,2,2,2,NA,NA,NA,NA,NA,NA,0.580775960898881,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.448320587528499,4,3,4,2,3
"00826-0062-0001-0022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00826-0062-0001-0023",NA,NA,NA,NA,NA,NA,NA,-0.386528622966912,2,3,2,2,2,3,NA,NA,NA,NA,-1.32658562422081,1,1,2,NA,NA,NA,NA,NA,NA,-0.790218550169164,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,-0.159432102224409,3,3,3,1,2
"00826-0062-0001-0024",NA,NA,NA,NA,NA,NA,NA,-1.42181980572054,2,2,1,1,2,1,NA,NA,NA,NA,-0.834303577306735,2,2,1,NA,NA,NA,NA,NA,NA,-1.41106854101579,1,1,1,2,1,NA,NA,NA,NA,NA,NA,-1.22202566641134,3,1,1,1,1
"00826-0063-0001-0001",-0.518760907326286,2,3,2,2,3,2,-1.2257711176101,2,3,2,1,1,1,0.564280481719156,4,3,3,0.141034122678427,3,3,2,-0.0331101382880392,2,3,2,4,3,-1.69756034126817,1,1,1,1,1,-0.150539612864269,2,2,3,1,3,0.0374125434696247,1,4,3,1,3
"00826-0063-0001-0002",-0.683752141261979,2,3,2,2,2,2,-2.08172567444038,1,1,1,1,1,1,-1.08442010223144,2,2,1,-1.6026139971396,1,1,1,-0.754875266066217,2,2,2,2,2,-1.69756034126817,1,1,1,1,1,-0.368654677633691,3,2,3,1,1,-1.52759909668946,1,1,1,1,1
"00826-0063-0001-0003",0.0547510283269465,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,0.455278770930951,3,3,4,NA,NA,NA,NA,-0.114927899099914,3,2,3,2,3,NA,NA,NA,NA,NA,NA,-0.636036024079823,3,2,1,1,2,NA,NA,NA,NA,NA,NA
"00826-0063-0001-0004",-0.320929264082401,2,3,2,2,3,3,-0.850052201882299,2,2,2,1,3,2,-1.50834852898287,2,1,1,-1.6026139971396,1,1,1,-0.970033581150836,2,2,2,2,1,-1.0832949457325,1,1,2,1,2,-0.17962435407506,2,2,3,2,2,-0.419858624885575,2,2,2,2,3
"00826-0063-0001-0005",-0.421687870917698,2,2,3,2,3,2,0.495913076204877,3,3,3,3,3,3,-0.848178210081668,2,2,2,0.407754629074501,3,3,3,-1.22967137228173,2,1,1,2,2,-0.279278825007888,2,2,2,2,3,-0.401259006757481,2,2,2,NA,2,0.14078563327032,NA,3,3,NA,3
"00826-0063-0001-0006",-0.683752141261979,2,3,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.848178210081668,2,2,2,-1.27211400585285,2,1,1,-1.42665627257302,1,1,1,2,2,-1.69756034126817,1,1,1,1,1,-1.02663435960993,3,1,1,1,1,-0.380898601404459,2,2,3,2,2
"00826-0063-0001-0007",0.316895221729886,3,3,3,3,3,3,0.495913076204877,3,3,3,3,3,3,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-0.0122862680232673,3,3,2,3,3,-0.0386812018499427,2,2,3,3,2,0.108453771748764,3,2,3,NA,3,0.644246024311578,NA,3,4,NA,4
"00826-0063-0001-0008",-1.58037884593967,1,2,2,1,1,1,0.682285586537784,3,4,3,3,3,3,-0.553645581246117,3,2,2,0.141034122678427,3,3,2,-1.42665627257302,1,1,1,2,2,-1.69756034126817,1,1,1,1,1,-0.67982834481367,2,2,2,1,1,0.420037358000415,2,3,4,4,3
"00826-0063-0001-0009",-1.1929724793521,2,3,1,1,2,2,-0.584703868512162,2,3,2,2,2,2,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-1.03065264576844,2,2,1,2,2,-1.1696524912872,1,1,1,2,2,-0.300496214088639,2,2,3,1,2,0.111289730417658,3,3,3,2,3
"00826-0063-0001-0010",-0.825118449181821,2,2,2,2,2,2,-0.973564538343131,1,2,2,2,2,2,-0.553645581246117,3,2,2,0.141034122678427,3,3,2,-1.91741951870438,1,1,1,1,1,-1.69756034126817,1,1,1,1,1,-1.15094335257707,2,1,1,1,1,-0.593891280000359,1,2,3,1,2
"00826-0063-0001-0011",0.153234153355436,2,3,3,3,3,3,-1.0833783338192,1,3,2,1,2,2,0.199253504854407,3,3,3,0.141034122678427,3,3,2,0.272416208867303,3,3,3,3,3,-0.708209730229706,2,1,2,2,2,-0.408790891251853,3,3,2,1,1,-0.249639989653674,4,3,2,1,2
"00826-0063-0001-0012",-0.320929264082401,2,3,2,2,3,3,-0.154124700815723,2,3,3,2,2,3,0.688657674540425,3,4,3,-0.156778579949398,3,2,3,-0.191614941969045,2,3,2,3,3,-0.279278825007888,2,2,2,2,3,-0.0326398537640819,2,2,3,2,3,-0.0978884594516135,2,3,3,1,3
"00826-0063-0001-0013",-0.683752141261979,2,3,2,2,2,2,-1.18837485474799,1,3,2,2,1,1,-0.0774978699633682,3,3,2,-0.351134532694353,3,2,2,-0.387091994236502,2,3,2,3,2,-1.69756034126817,1,1,1,1,1,-1.31630817300646,1,1,1,1,1,-0.166205839634856,2,3,3,2,2
"00826-0063-0001-0014",-0.720029093978464,1,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,-1.8348982053446,1,1,1,NA,NA,NA,NA,-1.91741951870438,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-0.473734806358977,2,1,3,1,2,NA,NA,NA,NA,NA,NA
"00826-0063-0001-0015",-0.0773752616028679,2,3,2,2,3,4,0.241286948307172,2,3,3,3,3,3,-0.328863099905878,3,2,3,-0.624960511436945,2,2,2,-0.601046338335395,2,2,2,3,2,-0.279278825007888,2,2,2,2,3,0.245659727068135,4,2,4,1,3,0.584106286804652,4,4,4,1,3
"00826-0063-0001-0016",-0.289846039701753,2,3,3,2,3,2,0.0963221381121048,3,3,3,3,2,2,1.01459026274053,4,4,3,0.141034122678427,3,3,2,0.272416208867303,3,3,3,3,3,-0.708209730229706,2,1,2,2,2,-0.473734806358977,2,1,3,1,2,0.546382786933946,2,4,4,3,3
"00826-0063-0001-0017",0.153234153355436,2,3,3,3,3,3,-1.01387872375465,2,2,1,2,2,2,-0.848178210081668,2,2,2,0.141034122678427,3,3,2,-0.754875266066217,2,2,2,2,2,-1.41106854101579,1,1,1,2,1,-0.509768061332522,2,2,2,1,2,-0.806535445668049,1,2,2,1,2
"00826-0063-0001-0018",-0.20724112571275,2,3,3,3,2,2,-0.357413015057283,2,2,2,2,3,3,-0.848178210081668,2,2,2,0.407754629074501,3,3,3,-1.03065264576844,2,2,1,2,2,-1.1704683121575,1,2,1,2,1,0.00860674022602553,2,3,3,1,3,-0.428089936719325,1,2,3,1,3
"00826-0063-0001-0019",-0.289846039701753,2,3,3,2,3,2,-0.404842815501378,2,3,2,2,3,2,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-1.43076416407626,2,1,1,2,1,-0.708209730229706,2,1,2,2,2,-0.879322011932777,2,1,2,1,1,-0.166205839634856,2,3,3,2,2
"00826-0063-0001-0020",0.153234153355436,2,3,3,3,3,3,0.495913076204877,3,3,3,3,3,3,0.199253504854407,3,3,3,0.141034122678427,3,3,2,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,-0.693288648272747,2,1,2,1,2,0.355963226929835,2,4,4,1,3
"00826-0063-0001-0021",0.0490840459219945,3,3,3,2,3,3,-0.584703868512162,2,3,2,2,2,2,0.564280481719156,4,3,3,0.141034122678427,3,3,2,0.656031077361083,4,3,3,4,3,-0.496325101745625,2,2,2,2,2,0.252959280818604,3,3,3,1,4,-0.060404001999498,3,3,3,2,2
"00826-0063-0001-0022",-0.20724112571275,2,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,-0.328863099905878,3,2,3,NA,NA,NA,NA,0.0737042900884769,2,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.20991120876129,3,2,3,1,2,NA,NA,NA,NA,NA,NA
"00826-0063-0001-0023",-0.518760907326286,2,3,2,2,3,2,-1.21659246950433,1,2,2,1,2,2,-0.848178210081668,2,2,2,-0.624960511436945,2,2,2,-0.972980874390056,2,1,2,2,2,-1.69756034126817,1,1,1,1,1,-0.67982834481367,2,2,2,1,1,-0.583214353472454,3,2,2,1,2
"00826-0064-0001-0001",-0.306626578414058,3,3,3,2,2,2,-0.584703868512162,2,3,2,2,2,2,-0.553645581246117,3,2,2,-0.624960511436945,2,2,2,-0.211192651840884,3,2,2,3,3,-0.708209730229706,2,1,2,2,2,-0.150539612864269,2,2,3,1,3,0.0959006379933739,2,3,3,3,3
"00826-0064-0001-0002",0.581502914818679,3,3,4,3,3,3,0.682285586537784,3,4,3,3,3,3,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,0.944818378102784,3,3,4,4,4,0.580775960898881,3,3,3,3,3,0.212225907237942,3,3,3,2,3,0.687201471787094,4,4,4,2,3
"00826-0064-0001-0003",-0.289846039701753,2,3,3,2,3,2,-0.219358126743737,2,3,2,2,3,3,-0.848178210081668,2,2,2,-0.624960511436945,2,2,2,-1.21092011026993,1,2,1,2,2,-0.0930951612114424,2,2,2,3,3,-0.54070439672397,4,2,1,1,2,0.739153682713584,4,3,4,3,4
"00826-0064-0001-0004",0.316895221729886,3,3,3,3,3,3,1.88016172456212,4,4,4,4,4,4,0.199253504854407,3,3,3,0.407754629074501,3,3,3,0.272416208867303,3,3,3,3,3,0.580775960898881,3,3,3,3,3,-0.149094191825732,4,4,2,1,1,0.205761128204731,3,3,3,3,3
"00826-0064-0001-0005",-0.232242433960227,2,2,3,2,3,3,-0.551564620656734,2,2,2,2,3,2,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-0.550313759412937,3,2,2,2,2,-0.90258188155168,2,2,2,1,1,0.0276948508647827,2,2,2,3,4,0.218912604572221,3,3,NA,1,4
"00826-0064-0001-0006",-0.096066587930524,2,3,3,2,3,3,-0.0196403952345125,3,3,2,2,3,3,0.199253504854407,3,3,3,0.407754629074501,3,3,3,-0.342978764082286,2,3,2,2,3,0.426304124081918,2,2,3,3,4,-0.416085361321328,3,2,2,1,2,0.222094365745872,2,3,4,2,3
"00826-0064-0001-0007",0.316895221729886,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,-0.0774978699633682,3,3,2,NA,NA,NA,NA,-0.112246914213449,3,3,3,2,2,NA,NA,NA,NA,NA,NA,0.415773298873921,3,4,3,1,4,NA,NA,NA,NA,NA,NA
